slug,stone,design_name,designer,faceted_by,carat,size_mm,origin_en,treatment,clarity_note_en,title_jp,date,tags,image_order,process_image_order,video_url,shop_url,modification_note,additional_note,design_is_named,product_id,stone_ja,faceted_by_ja,origin_ja,treatment_ja,clarity_note_ja,cert_lab_ja,cert_lab_en,title_jp_override,clarity_note_ja_override,clarity_note_en_override,gallery_url,note_url
zircon-1019ct-tessellation-20,Zircon,Tessellation 20,Arya Akhavan,Rara Lab,1.019,5.43 × 5.41 × 3.86mm,Unknown,Heated,Eye clean,ジルコン 1.019ct “Tessellation 20”,2026-05-12,,,DSC_2365 DSC_2367,,https://www.raralab.shop/product/zircon-1019ct-tessellation-20/MWFO6A2MLYPOR7AHBQUFU5MC?,,Rara Labによる加熱、ガードル付近にカケあり,1,250413C,,,,,,日独宝石研究所,,,,,https://raralab.jp/gallery/zircon-1019ct-tessellation-20/,
dragon-garnet-0626ct-maelstrom-authority,Dragon Garnet,Maelstrom Authority,Arya Akhavan,Rara Lab,0.626,4.90 × 5.01 × 3.92 mm,Africa,None,Loupe clean,ドラゴン・ガーネット 0.626ct “Maelstrom Authority”,2025-11-29,,DSC_3854 DSC_4073 DSC_4052 DSC_4048 DSC_4056 DSC_4061 DSC_4064 DSC_3868 DSC_4079 DSC_4082 DSC_4087 DSC_4088 DSC_0375 DSC_0395 DSC_4303 DSC_4308 DSC_4311 DSC_4314,DSC_2373 DSC_2375 DSC_3808 DSC_3810 DSC_3845 DSC_3849,,https://www.raralab.shop/product/dragon-garnet-0626ct-maelstrom_authority/AOAVBAB3SSHZRXJTNR37EOHZ,,1,,,,,,,,,,,,,,
aquamarine-06ct-fiorello-80,Aquamarine,Fiorello 80,Marco Voltolini,Rara Lab,0.6,5.9mm x 5.9mm x 4.1mm,Pakistan,Unknown,Included,モス・アクアマリン 0.6ct “Fiorello 80”,2025-11-15,,,DSC_1719 DSC_1729 DSC_1734,,https://www.raralab.shop/product/aquamarine-06ct-fiorello-80/115,,,,,,,,,,,,,,,,
oregon-sunstone-0640ct-corky-st-clair,Oregon Sunstone,Corky St Clair,Michael Holmes,Rara Lab,0.640,5.53 × 5.54 × 4.11 mm,"Oregon, USA",,Visible aventurescence depending on angle,オレゴン・サンストーン 0.640ct “Corky St Clair”,2025-11-15,,,,,https://www.raralab.shop/product/oregon-sunstone-corky-st-clair-0640ct/75,,,,,,,,,,,,,,,,
zircon-0718ct-bright-rose,Zircon,Bright Rose,Allan Beck,Rara Lab,0.718,5.01 × 5.04 × 3.34 mm,Africa,None,Loupe clean,ジルコン 0.718ct “Bright Rose”,2026-05-13,,,DSC_2341 DSC_2344 DSC_2347,https://customer-jnhhy169io6el95i.cloudflarestream.com/af6778c679369c33a1f045bb6f122fe6/iframe,https://www.raralab.shop/product/zircon-0718ct-bright-rose-modified-for-zircon/CXFRB6VT6MQWDMHFIBR6FPYV,Modified for Zircon,,1,250413A,,,,,,日独宝石研究所,,,,,https://raralab.jp/gallery/zircon-0718ct-bright-rose/,
montana-sapphire-0323ct-tessellation-12-f,Montana Sapphire,Tessellation 12 (F),Arya Akhavan,Rara Lab,0.323,3.58mm x 3.56mm x 2.74mm,"Rock Creek, Montana, USA",Heated,Eye clean,モンタナ・サファイア 0.323ct “Tessellation 12 (F)”,2024-12-29,,,,,https://www.raralab.shop/product/montana-sapphire-0323ct-tessellation-12-f/97,,1,,,,,,,,,,,,,,
montana-sapphire-0418ct-zoras-sapphire,Montana Sapphire,Zora's Sapphire,Arya Akhavan,Rara Lab,0.418,4.36mm x 4.35mm x 3.11mm,"Montana, USA",Heated,Eye clean; minor inclusion visible under 10x (center),モンタナ・サファイア 0.418ct “Zora's Sapphire”,2024-12-30,,,,,https://www.raralab.shop/product/montana-sapphire-0418ct-zoras-sapphire/112,,1,,,,,,,,,,,,,,
montana-sapphire-0448ct-smallest-hex-apex,Montana Sapphire,SMALLEST HEX APEX,Robert H. Long,Rara Lab,0.448,4.25mm x 4.23mm x 2.99mm,"Montana, USA",Heated,Eye clean,モンタナ・サファイア 0.448ct “SMALLEST HEX APEX”,2026-06-12,,,,,https://www.raralab.shop/product/montana-sapphire-0448ct-smallest-hex-apex/103,,,1,241208F,,,,,,日独宝石研究所,,,,,https://raralab.jp/gallery/montana-sapphire-0448ct-smallest-hex-apex/,
montana-sapphire-0413ct-smallest-hex-apex,Montana Sapphire,SMALLEST HEX APEX,Robert H. Long,Rara Lab,0.413,4.06mm x 4.06mm x 2.94mm,"Rock Creek, Montana, USA",Heated,Eye clean,モンタナ・サファイア 0.413ct “SMALLEST HEX APEX”,2026-06-12,,,,https://customer-jnhhy169io6el95i.cloudflarestream.com/5fd8d857197cb308deaa3c235190fa79/iframe,https://www.raralab.shop/product/montana-sapphire-0413ct-smallest-hex-apex/102,,ガードル近くに10倍ルーペで見えるズレあり,1,241208E,,,,,,日独宝石研究所,,,,,https://raralab.jp/gallery/montana-sapphire-0413ct-smallest-hex-apex/,
montana-sapphire-0836ct-orb,Montana Sapphire,Orb,Scott Laborie,Rara Lab,0.836,5.16mm x 5.21mm x 3.94mm,"Montana, USA",Heated,Eye clean,モンタナ・サファイア “Orb” 0.836ct,2024-07-29,,,,,https://www.raralab.shop/product/montana-sapphire-orb-0836ct/87,,1,,,,,,,,,,,,,,
montana-sapphire-0317ct-simple-jack,Montana Sapphire,Simple Jack,,Rara Lab,0.317,3.73mm x 3.84mm x 2.80mm,,Heated,Eye clean,モンタナ・サファイア 0.317ct “Simple Jack”,2024-12-29,,DSC_0738 DSC_0739 DSC_0724 DSC_0725 DSC_0728 DSC_0730 DSC_0733 DSC_0749 DSC_0747 DSC_0662,,,https://www.raralab.shop/product/montana-sapphire-0317ct-simple-jack-mod/100,Modified for Sapphire,1,,,,,,,,,,,,,,
montana-sapphire-0423ct-zoras-sapphire,Montana Sapphire,Zora's Sapphire,Arya Akhavan,Rara Lab,0.423,4.40mm x 4.37mm x 3.12mm,"Rock Creek, Montana, USA",Heated,Inclusion visible under 10x,モンタナ・サファイア 0.423ct “Zora's Sapphire”,2024-12-30,,,,,https://www.raralab.shop/product/montana-sapphire-0423ct-zoras-sapphire/110,,1,,,,,,,,,,,,,,
montana-sapphire-0412ct-simple-jack,Montana Sapphire,Simple Jack,,Rara Lab,0.412,4.09mm x 4.17mm x 3.06mm,"Montana, USA",Heated,Eye clean,モンタナ・サファイア 0.412ct “Simple Jack”,2024-09-29,,DSC_0684 DSC_0687 DSC_0688 DSC_0689 DSC_0694 DSC_0700 DSC_0702 DSC_0705 DSC_0710 DSC_0375 DSC_0395 DSC_0659,,,https://www.raralab.shop/product/montana-sapphire-0412ct-simple-jack-mod/99,Modified for Sapphire,1,,,,,,,,,,,,,,
montana-sapphire-0509ct-orb,Montana Sapphire,Orb,,Rara Lab,0.509,4.54mm x 4.56mm x 2.37mm,"Montana, USA",Heated,Loupe clean,モンタナ・サファイア “Orb” 0.509ct,2024-09-29,,,,,https://www.raralab.shop/product/montana-sapphire-orb-mod-0509ct/89,Pavilion modified,1,,,,,,,,,,,,,,
montana-sapphire-0299ct-orb,Montana Sapphire,Orb,,Rara Lab,0.299,3.82mm x 3.85mm x 2.39mm,"Montana, USA",Heated,Inclusion visible under 10x,ブルー・モンタナ・サファイア “Orb” 0.299ct,2024-07-29,,,,,https://www.raralab.shop/product/montana-sapphire-orb-mod-0299ct/88,Modified,1,,,,,,,,,,,,,,
umba-zircon-0519ct-squartuguese2,Umba Zircon,Squartuguese2,Marco Voltolini,Rara Lab,0.519,3.91mm x 3.90mm x 2.95mm,"Umba, Tanzania",Heated,Loupe clean,ジルコン 0.519ct “Squartuguese2”,2025-09-29,,,,,https://www.raralab.shop/product/umba-zircon-0519ct-squartuguese2/109,,1,,,,,,,,,,,,,,
zircon-1290ct-squartuguese2,Zircon,Squartuguese2,Marco Voltolini,Rara Lab,1.290,5.20mm x 5.17mm x 4.09mm,,Heated,Loupe clean,ジルコン 1.290ct “Squartuguese2”,2025-09-29,,,,,https://www.raralab.shop/product/zircon-1290ct-squartuguese2/108,,1,,,,,,,,,,,,,,
pink-tourmaline-0856ct-tessellation-13-f,Pink Tourmaline,Tessellation 13 (F),Arya Akhavan,Rara Lab,0.856,6.79×4.82x4.40 mm,Congo,Possible irradiation; not tested,Loupe clean,ピンク・トルマリン 0.856ct “Tessellation 13 (F)”,2026-07-08,,,,,,,ガードル付近に10倍ルーペで見えるカケあり,1,250828A,,,,,,日独宝石研究所,,,,,,
pink-tourmaline-116ct-procrastination,Pink Tourmaline,Procrastination,Arya Akhavan,Rara Lab,1.16,4.6 × 6.8 × 4.9 mm,Afghanistan,Unknown,Inclusion visible to the naked eye,ピンク・トルマリン 1.16ct “Procrastination”,2026-07-13,,,,https://customer-jnhhy169io6el95i.cloudflarestream.com/c7ff4c7e03e86828d48332da341040e4/iframe,,,テーブル端に表面に達するクラックあり,1,250821n,,,,,,日独宝石研究所,,,,,,
montana-sapphire-0322ct-smallest-hex,Montana Sapphire,Smallest Hex,TJ Jackson,Rara Lab,0.322,3.74x3.66×2.50 mm,"Rock Creek, Montana, USA",Heated,Eye clean,モンタナ・サファイア 0.322ct “Smallest Hex”,2026-07-07,,,,,,,,1,250526B,,,,,,日独宝石研究所,,,,,,
montana-sapphire-0223ct-smallest-hex,Montana Sapphire,Smallest Hex,TJ Jackson,Rara Lab,0.223,3.54x3.50×2.13 mm,"Montana, USA",Heated,Inclusion visible under 10x,モンタナ・サファイア 0.223ct “Smallest Hex”,2026-07-05,,,,https://customer-jnhhy169io6el95i.cloudflarestream.com/c368131f8b4a5fbab5c6dd03ef842d64/iframe,,,,1,250729F,,,,,,日独宝石研究所,,,,,,
montana-sapphire-0405ct-cut-corner-rectangle-step,Montana Sapphire,Cut Corner Rectangle Step,Rara Lab,Rara Lab,0.405,5.12×3.10×2.42 mm,"Rock Creek, Montana, USA",Heated,Loupe clean,モンタナ・サファイア 0.405ct “Cut Corner Rectangle Step”,2026-08-02,,,260610-164010.jpg 260610-164345.jpg 260611-181107.jpg 260611-181458.jpg 260615-182627.jpg 260615-182803.jpg 260617-232701.jpg 260620-160648.jpg 260620-163146.jpg 260620-163204.jpg,,,,バイカラー・サファイア（ゾーニングあり）,0,250806H,,,,,,日独宝石研究所,,,,,,
